        TIME,            E,            S,          ES1,          ES2,            P
9.900833E+01, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.000083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.010083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.020083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.030083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.040083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.050083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.060083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.070083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.080083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.090083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.100083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.110083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.120083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.130083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.140083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.150083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.160083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.170083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.180083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.190083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.200083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.210083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.220083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.230083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.240083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.250083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.260083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.270083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.280083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.290083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.300083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.310083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.320083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.330083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.340083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.350083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.360083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.370083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
1.380083E+02, 1.000000E-06, 0.000000E+00, 0.000000E+00, 0.000000E+00, 1.978746E-04
